РБЮ;КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
OCS Центральный офис;К0031292;СТРОЙ ИНЖЕНЕР МОНТАЖ;140,3;321,5;181,2;140,3;0,05103;1;0;0;5;1;12,86
OCS Центральный офис;К0031317;ДэЛЗ;741,66;10111,07;9369,41;741,66;1,047863;2;0;0;187;7;0
OCS Центральный офис;К0031383;Инфокуб;2195,48;12281,97;10086,49;2195,48;0,997977;4;0;0;26;7;203,8932
OCS Центральный офис;К0031390;Энтер;15,51;638,72;623,21;15,51;0,0172;1;0;3,6516;1;1;0
OCS Центральный офис;К0031402;Зортек;14248,5;56698,79;42450,29;14248,5;20,491157;14;0;281,3116;199;163;0
OCS Центральный офис;К0031446;Линкс Телекоммьюникэйшнс СНГ;108,61;2234,4;2125,79;108,61;0,093767;1;0;0;2;1;0
OCS Центральный офис;К0031495;СиСофт;483,81;5046,75;4562,94;483,81;0,396693;7;0;0;38;23;0
OCS Центральный офис;К0031505;СИСТЕМА;402,03;1917,58;1515,55;402,03;0,374292;15;0;5,26;15;18;16,6
OCS Центральный офис;К0031560;АРТинсталл;252,74;5389,85;5137,11;252,74;1,0764;1;0;0;30;1;0
OCS Центральный офис;К0031643;Видеосити;-3672,64;90595,42;94268,06;-3656,96;107,305621;9;0;6423,2913;592;208;0
OCS Центральный офис;К0031699;Аи-Видео;3974,82;24337,49;20362,67;3974,82;0,42588;1;0;0;30;1;0
OCS Центральный офис;К0031848;Ай Пи дром;381,78;982;600,22;381,78;0,039556;1;0;0;2;1;0
OCS Центральный офис;К0031849;Di-house;3012,56;23548,29;20535,73;3012,56;0,294057;1;0;1595,844;1200;4;0
OCS Центральный офис;К0031864;ГИГАНТ-КОМПЬЮТЕРС;1441,89;18624,43;17182,54;1441,89;7,416557;14;0;0;195;23;145,4956
OCS Центральный офис;К0031888;А20;356,23;5074,32;4718,09;356,23;1,471659;5;0;3,5669;115;10;35,76
OCS Центральный офис;К0031897;ИП  Золотарев А. В.;120,8;2100,88;1980,08;120,8;0,286397;3;0;3,4504;4;3;6,728
OCS Центральный офис;К0031910;Киберри Электроникс;-3,01;5094,02;5097,03;-3,01;0,9499;1;0;249,5791;250;2;0
OCS Центральный офис;К0031981;Интеграция и Сервис;147,88;4030,07;3882,19;147,88;0,226344;10;0;50,8773;17;13;70,6496
OCS Центральный офис;К0032035;Статус;125,9;1528,69;1402,79;125,9;0,093609;3;0;0;36;4;61,1476
OCS Центральный офис;К0032048;Нет-Линк;-3103,98;50236,55;53340,53;-3103,98;4,473607;16;0;5946,8674;1001;19;1,8312
OCS Центральный офис;К0032082;123.РУ;62425,9;517555,7;455129,8;63589,86;53,276134;177;0;6952,5377;7934;2327;0
OCS Центральный офис;К0032086;Фронтком;1161,57;11095;9933,43;1161,57;0,021079;3;0;6,8;102;4;7,8
OCS Центральный офис;К0032205;КМ-Сервис;-53,76;113,64;167,4;-53,76;0,025914;2;0;97,47;11;9;1,9684
OCS Центральный офис;К0032278;АйПи Видео Системс;-1517,8;20162,46;21680,26;-1517,8;0,380269;8;0;1615,4538;21;10;0
OCS Центральный офис;К0032316;КАРТТОН;7,82;50,18;42,36;7,82;0,02156;1;0;0;2;1;0
OCS Центральный офис;К0032317;АЭРОПРОФ – оборудование и материалы;2869,56;40933,47;38063,91;2869,56;0;1;0;0;2;1;0
OCS Центральный офис;К0032339;ТСВ;83640,21;1451425,08;1367784,87;83640,21;102,595803;229;0;4620,7156;11827;1539;36,1644
OCS Центральный офис;К0032373;Альфа Инвест;235,18;9826,41;9591,23;235,18;0,687115;4;0;0;113;15;186,2392
OCS Центральный офис;К0032469;ФАРМ;59,18;389,22;330,04;59,18;0,19578;2;0;0;26;3;0
OCS Центральный офис;К0032544;МТТ Центр;610,76;8252,68;7641,92;610,76;2,633257;4;0;0;60;21;0
OCS Центральный офис;К0032576;АКТУАЛ - ПРИНТ;42,03;425,7;383,67;42,03;0,006331;1;0;0;5;5;0
OCS Центральный офис;К0032599;Ком Спец Проект;4597,59;43719,38;39121,79;4597,59;2,100216;10;0;0;743;14;1405,9536
OCS Центральный офис;К0032613;Евросеть ИМ;436,87;1718,76;1281,89;436,87;0,714114;17;0;3,9454;30;30;0
OCS Центральный офис;К0032692;Базис;11,25;566,83;555,58;11,25;0,02592;2;0;0;2;2;22,6732
OCS Центральный офис;К0032831;Офисная индустрия;1111,12;7732,25;6621,13;1111,12;1,721689;19;0;8,97;59;29;16,0036
OCS Центральный офис;К0032858;СДВ-Опт;792,8;5373,32;4580,52;792,8;0,836875;6;0;0;82;28;84,69
OCS Центральный офис;К0032987;Копирус.ком ООО;5,06;173,66;168,6;5,06;0,015048;2;0;17,9232;3;2;0
OCS Центральный офис;К0032995;ОКНО ТВ ЗАО;48100,11;599847,25;551747,14;51097,38;39,072128;13;0;2081,652;315;65;73,7184
OCS Центральный офис;К0033078;Стилус;144,73;2895,2;2750,47;144,73;0,188599;5;0;9,93;20;10;84,608
OCS Центральный офис;К0033210;Солиднет;3153,29;50395;47241,71;3153,29;0,369946;2;0;0;10;3;0
OCS Центральный офис;К0033490;НТТ Коммьюникейшнз Раша;6965,08;32603,76;25638,68;6965,08;0,314068;11;0;2,0165;71;24;580,6404
OCS Центральный офис;К0033521;ТЕЛЕКОМ-КАПИТАЛ;809,79;3563;2753,21;809,79;0,205056;1;0;0;1;1;142,52
OCS Центральный офис;К0033542;СК Регион;1313,48;2803,34;1489,86;1313,48;2,520303;2;0;0;479;20;0
OCS Центральный офис;К0033547;НПА Вира Реалтайм;-5816,64;81497,31;87313,95;-5816,64;0,796509;6;0;11516,9893;42;14;417,2
OCS Центральный офис;К0033643;ВОРК ГРУПП;237,54;3183,58;2946,04;237,54;0,047377;8;0;0;23;8;86,8176
OCS Центральный офис;К0033671;Ин-Сервис;452,16;5903,11;5450,95;452,16;0,666411;19;0;82,3841;183;35;184,832
OCS Центральный офис;К0033792;Де Пачеко компани;84,98;1262,87;1177,89;84,98;0,027013;4;0;0;21;13;0
OCS Центральный офис;К0033845;1-я мебельная фабрика;2445,19;9641,2;7196,01;2445,19;4,662504;5;0;6,9532;20;18;0
OCS Центральный офис;К0033848;AV sale;82162,19;455893,97;373731,78;86767,23;246,758627;9;0;449,1322;1182;113;0
OCS Центральный офис;К0033849;BIANTA;946,78;4949,99;4003,21;946,78;2,096941;6;0;0;11;11;0
OCS Центральный офис;К0033853;Houselite;283,78;3848,3;3564,52;283,78;3,007984;1;0;39,1667;9;9;0
OCS Центральный офис;К0033854;IC-studio;346,68;944,43;597,75;346,68;0,65136;1;0;0;2;2;0
OCS Центральный офис;К0033859;TS-Мебель;2,93;169,96;167,03;2,93;0,08424;1;0;2,1688;1;1;0
OCS Центральный офис;К0033863;АДАМАНТ;-94,62;1287,23;1381,85;-94,62;0,985436;1;0;133,2369;2;2;0
OCS Центральный офис;К0033866;АКЛИС;409,65;6725,12;6315,47;409,65;3,169617;1;0;62,6623;213;17;0
OCS Центральный офис;К0033867;Алма;369,29;3889,19;3519,9;369,29;0,213749;17;0;0;60;33;127
OCS Центральный офис;К0033872;Арнарио;347,93;3409,75;3061,82;347,93;2,047648;2;0;35,9008;5;5;0
OCS Центральный офис;К0033883;Беломорская ПМК;1933,97;15040,42;13106,45;1933,97;17,35629;1;0;119,0237;88;75;0
OCS Центральный офис;К0033886;Бюро Заказов;384,88;1393,22;1008,34;384,88;0,680363;1;0;0;3;3;0
OCS Центральный офис;К0033887;В Магазине;24168,42;218357,96;194189,54;24168,42;167,368503;72;0;1087,5961;721;898;0
OCS Центральный офис;К0033899;ГМ Старт;2360,14;12180,78;9820,64;2360,14;9,198479;1;0;0;135;3;0
OCS Центральный офис;К0033907;Европрестиж;538,19;3229,69;2691,5;538,19;2,098893;6;0;91,9001;7;7;0
OCS Центральный офис;К0033908;Ефимов (Нева-Телеком);-24,79;411,63;436,42;-24,79;0,36464;1;0;37,1389;5;1;0
OCS Центральный офис;К0033914;ИП Новиков Дмитрий Николаевич;1289,04;8074,55;6785,51;1289,04;2,6158;12;0;254,6701;149;63;0
OCS Центральный офис;К0033922;Кинеф;6156,83;29651,85;23495,02;6456,34;26,859547;5;0;91,0058;117;79;0
OCS Центральный офис;К0033927;Королевство техники;7449,28;75177,31;67728,03;7449,28;55,920408;32;0;2040,8913;414;311;0
OCS Центральный офис;К0033934;Кухни Ликарион;298,79;7235,96;6937,17;559,44;5,596224;19;0;355,9656;25;29;0
OCS Центральный офис;К0033935;Кухни Плаза;957,26;4734,65;3777,39;957,26;3,749343;7;0;106,2085;16;19;0
OCS Центральный офис;К0033938;Лента;184054,32;1891525,61;1707471,29;184054,32;481,74857;116;0;6540,0926;40237;233;0
OCS Центральный офис;К0033941;"Магазин ""Тим""";4970;24293,65;19323,65;4970;17,424951;5;0;93,2491;75;56;0
OCS Центральный офис;К0033942;Магнит;4051,16;78964,59;74913,43;4051,16;28,0807;5;0;1986,1022;2410;11;0
OCS Центральный офис;К0033943;Максвидео;32804,06;297038,47;264234,41;32804,06;194,341433;76;0;1385,8764;1103;985;0
OCS Центральный офис;К0033944;Максидом;237275,79;2015122,45;1777846,66;237727,43;1484,910337;266;0;6168,2534;16064;6468;0
OCS Центральный офис;К0033953;Мурашева ИП;170,5;857,58;687,08;170,5;0,23707;2;0;0;4;4;0
OCS Центральный офис;К0033978;СК Аппетит;42,43;932,92;890,49;42,43;0,538883;1;0;11,3402;2;2;0
