КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
К0028392;Юнит Трейд;2036,39;24999,71;22963,32;2036,39;1,854453;26;310,6309;0;256;127;176,018
К0028453;ИП Кузнецов Н. В. (г. Тюмень);3;34,5;31,5;3;0,00729;1;0;31,47;3;1;0
К0028469;Андрияшкин С. М. (г. Сургут);1349,37;13574,13;12224,76;1349,37;1,089522;26;116,79;313,17;368;120;35,3044
К0028504;Он-Лайн Урал;1726,98;13383,49;11656,51;1726,98;1,246604;27;81,3017;320,23;367;61;108,56
К0028530;ИП Каюмов Р.А. (г. Тюмень);126,49;1043,25;916,76;126,49;0,057569;2;0;0;5;2;41,73
К0028696;Головастиков П.А.;32,99;104,49;71,5;32,99;0,021592;1;0;0;18;5;0
К0028740;НЦАИС (г. Нефтеюганск);371,74;2573,18;2201,44;371,74;0,499616;7;29,1504;0;113;21;17,122
К0028869;Металл-проект;5,82;195,72;189,9;5,82;0,031996;1;0;0;3;2;7,8288
К0028885;"ООО ""Смарт""";394,26;7804,61;7410,35;394,26;0,957391;23;42,5869;93,56;113;78;131,4444
К0028927;ТАН-Про;72,56;591,03;518,47;72,56;0,017512;3;0;0;10;8;0
К0028989;Асгард;1359,88;20445,95;19086,07;1359,88;3,204675;31;318,3609;0;488;193;635,3684
К0029177;МСО (г. Мегион);5703,16;38251,16;32548;5703,16;2,126364;10;207,48;0;677;136;180,484
К0029219;Мирит;-13,03;1061,59;1074,62;-13,03;0,140267;11;126,35;0;24;12;4,36
К0029223;"ООО ""+ Альянс"" (г. Тюмень)";659,26;6324,84;5665,58;659,26;0,70614;32;32,3094;0;180;55;25,7656
К0029227;УралТехноРесурс;23,88;370,37;346,49;23,88;0,043685;4;0;0;12;7;14,8148
К0029299;Концепт;285,33;1242,76;957,43;285,33;0,078769;3;10,79;0;241;9;49,7104
К0029410;Экселлент;16,82;243,3;226,48;16,82;0,016758;1;0;0;1;1;0
К0029413;Система-Сервис-Пермь ПКО;8,04;152;143,96;8,04;0,031584;1;0;0;1;1;6,08
К0029531;"ООО ""Золотник"" (г. Тюмень)";820,58;7711,07;6890,49;820,58;0,215528;11;0;0;92;51;104,3844
К0029752;"ООО ""Юнивим"" (г. Тюмень)";80,11;1279,52;1199,41;80,11;0,10658;18;3,555;0;43;22;27,5044
К0029948;ИРС;-91,14;895,68;986,82;-91,14;0,079348;3;41,92;0;8;4;1,1472
К0029960;МСТ;4,85;139,18;134,33;4,85;0,000394;1;0;0;1;1;5,5672
К0030071;Спринтер (г. Тюмень);125,04;1068,58;943,54;125,04;0,434046;2;3,5299;0;4;3;0
К0030143;1С: Мультимедиа Екатеринбург;619,31;5889,67;5270,36;619,31;0,503017;9;6;0;201;77;0
К0030152;ИП Койнов Андрей Анатольевич;167,48;1702,12;1534,64;167,48;1,112255;2;0;0;147;6;23,398
К0030495;Калашников Д.И.;990,79;7616,49;6625,7;990,79;1,18654;18;160,513;5,11;342;67;196,9864
К0030530;"ООО ""СнабДим""";63,7;966,2;902,5;63,7;0,035556;2;2,4262;0;16;10;9,936
К0030622;ИП Уразов Д.В (г. Тюмень);372,99;3131,58;2758,59;372,99;0,761178;5;174,4214;235,89;35;8;0
К0030781;ЛИГА;26,31;103,47;77,16;26,31;0,013984;2;0;0;3;3;0
К0030800;К-Трейд;-101,93;3046,59;3148,52;-101,93;0,031247;5;72,09;0;45;10;118,1492
К0031008;"Предприятие ""Абсолют""";401,79;1685,04;1283,25;401,79;1,497147;7;0;0;45;10;0
